관광안내소명,안내소위치명,시도명,시군구명,안내소소개,부가서비스정보,휴무일,운영시작시각(하절기),운영종료시각(하절기),운영시작시각(동절기),운영종료시각(동절기),평균근무인원수,영어안내가능여부,일본어안내가능여부,중국어안내가능여부,안내가능외국어,안내소전화번호,소재지도로명주소,소재지지번주소,운영기관명,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
오륙도 스카이워크,용호동,부산광역시,남구,,,월화수목금,10:00,17:00,10:00,17:00,3,N,Y,N,일본어,051-607-6395,부산광역시 남구 오륙도로 137,,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.10143799,129.1231048,2020-10-06,B552974,부산관광공사
40계단문화관,중앙동,부산광역시,중구,,,월화수목금,10:00,17:00,10:00,17:00,2,N,Y,Y,일본어중국어,051-600-4541,부산광역시 중구 동광길 49(동광동5가),,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.1050057,129.034456,2020-10-06,B552974,부산관광공사
UN기념공원,대연동,부산광역시,남구,,,명절,10:00,17:00,10:00,17:00,6,Y,N,Y,영어중국어,051-625-0625,부산광역시 남구 유엔평화로 93,,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.12739717,129.0960626,2020-10-06,B552974,부산관광공사
감천문화마을,감천동,부산광역시,사하구,,,명절,10:00,17:00,10:00,17:00,12,Y,Y,Y,영어일본어중국어,070-4219-5556,부산광역시 사하구 감내2로 177-11(감천동),,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.09860974,129.0103589,2020-10-06,B552974,부산관광공사
금정산성,금성동,부산광역시,금정구,,,월화수목금,10:00,17:00,10:00,17:00,4,Y,N,Y,영어중국어,051-519-4081,부산광역시 금정구 북문로 126(금성동),,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.27398079,129.0487935,2020-10-06,B552974,부산관광공사
동삼동패총전시관,동삼동,부산광역시,영도구,,,월화수목금,10:00,17:00,10:00,17:00,1,N,Y,N,일본어,051-403-1193,부산광역시 영도구 태종로 729(동삼동),,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.07121624,129.0796689,2020-10-06,B552974,부산관광공사
몰운대,다대동,부산광역시,사하구,,,월화수목금,10:00,17:00,10:00,17:00,2,Y,N,N,영어,051-207-6041,부산광역시 사하구 몰운대1길 73(다대동),,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.04429853,128.9694161,2020-10-06,B552974,부산관광공사
백산기념관,동광동,부산광역시,중구,,,월화수,10:00,17:00,10:00,17:00,3,Y,N,Y,영어중국어,051-403-1193,부산광역시 중구 백산길 11(동광동3가),,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.10195828,129.0345655,2020-10-06,B552974,부산관광공사
범어사,청룡동,부산광역시,금정구,,,명절,10:00,17:00,10:00,17:00,9,Y,Y,Y,영어일본어중국어,051-508-3122,부산광역시 금정구 범어사로 250(청룡동),,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.28304308,129.0676212,2020-10-06,B552974,부산관광공사
복천박물관,복천동,부산광역시,동래구,,,월화수목금,10:00,17:00,10:00,17:00,4,Y,N,Y,영어중국어,051-550-0335,부산광역시 동래구 복천로 63,,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.20877662,129.0911741,2020-10-06,B552974,부산관광공사
부산근대역사관,대청동,부산광역시,중구,,,월화수목금,10:00,17:00,10:00,17:00,4,Y,Y,Y,영어일본어중국어,051-253-3845,부산광역시 중구 대청로 104,,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.1026715,129.0311576,2020-10-06,B552974,부산관광공사
부산박물관문화체험관,대연동,부산광역시,남구,,,월,10:00,17:00,10:00,17:00,9,Y,Y,Y,영어일본어중국어,051-610-7140,부산광역시 남구 유엔평화로 63(대연동),,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.12955624,129.0929413,2020-10-06,B552974,부산관광공사
부산어촌민속관,화명동,부산광역시,북구,,,월화수목금,10:00,17:00,10:00,17:00,3,Y,Y,N,영어일본어,051-363-3333,부산광역시 북구 학사로 128(화명동),,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.23375209,129.008452,2020-10-06,B552974,부산관광공사
수영사적공원,수영동,부산광역시,수영구,,,월화수,10:00,17:00,10:00,17:00,6,Y,Y,Y,영어일본어중국어,051-610-4065,부산광역시 수영구 연수로379번길 42,,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.17170306,129.113811,2020-10-06,B552974,부산관광공사
오륜대한국순교자박물관,부곡동,부산광역시,금정구,,,월화수,10:00,17:00,10:00,17:00,4,Y,N,N,영어,051-582-2920,부산광역시 금정구 오륜대로 106-1,,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.2457017239,129.1009015926,2020-10-06,B552974,부산관광공사
용두산공원,광복동,부산광역시,중구,,,월,10:00,17:00,10:00,17:00,5,Y,Y,N,영어일본어,051-860-7821,부산광역시 중구 대청로116번길 13,,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.1018190177,129.0322203620,2020-10-06,B552974,부산관광공사
인천역 관광안내소,인천역,인천광역시,중구,인천 관광 종합 안내,"전자기기 충전, 구급약품, 안전용품, 체험이벤트 운영","설날, 추석",09:00,18:00,09:00,18:00,2,Y,Y,Y,,032-777-1330,인천광역시 중구 제물량로271 (북성1가),인천광역시 중구 북성동 1가 3-61,인천광역시청,http://itour.incheon.go.kr,37.4761289,126.6170821950,2020-01-12,6280000,인천광역시
인천버스터미널 관광안내소,인천버스터미널,인천광역시,미추홀구,인천 관광 종합 안내,"전자기기 충전, 구급약품, 안전용품, 체험이벤트 운영","설날, 추석",09:00,18:00,09:00,18:00,1,Y,Y,Y,,032-435-7257,인천광역시 미추홀구 연남로35 (관교동),인천광역시 미추홀구 관교동 15,인천광역시청,http://itour.incheon.go.kr,37.4425051486,126.7015186605,2020-01-12,6280000,인천광역시
강화마니산 관광안내소,마니산,인천광역시,강화군,인천 관광 종합 안내,"전자기기 충전, 구급약품, 안전용품, 체험이벤트 운영","설날, 추석",09:00,18:00,09:00,18:00,1,N,Y,Y,,032-934-5565,인천광역시 강화군 화도면 마니산로675번길 14,인천광역시 강화군 화도면 상방리 398-1,인천광역시청,http://itour.incheon.go.kr,37.6327325694,126.4231410705,2020-01-12,6280000,인천광역시
경인아라뱃길 정서진 관광안내소,정서진,인천광역시,서구,인천 관광 종합 안내,"전자기기 충전, 구급약품, 안전용품, 체험이벤트 운영","설날, 추석",09:00,18:00,09:00,18:00,1,Y,Y,N,,032-561-1339,인천광역시 서구 정서진1로41 (오류동),인천광역시 서구 오류동 1563,인천광역시청,http://itour.incheon.go.kr,37.55843765,126.6074637,2020-01-12,6280000,인천광역시
소래포구 관광안내소,소래포구,인천광역시,남동구,인천 관광 종합 안내,"전자기기 충전, 구급약품, 안전용품, 체험이벤트 운영","설날, 추석",09:00,18:00,09:00,18:00,1,Y,N,Y,,032-431-2213,인천광역시 남동구 아암대로 1605,인천광역시 남동구 논현동 680-2,인천광역시청,http://itour.incheon.go.kr,37.3981634700,126.7375992367,2020-01-12,6280000,인천광역시
소요산 관리지원센터,소요산 입구,경기도,동두천시,소요산 관광 안내,휠체어대여+유모차대여,연중무휴,09:00,18:00,09:00,18:00,3,N,N,N,,031-860-2065,경기도 동두천시 평화로 2910번길 145,경기도 동두천시 상봉암동 산1-1,경기도 동두천시청,https://www.ddc.go.kr/tour/contents.do?key=566,37.94652217,127.06934374,2020-12-30,3920000,경기도 동두천시
망상종합관광안내소,망상해수욕장 입구,강원도,동해시,동해시 관광지 정보를 제공합니다.,,"설명절, 추석명절 기간",09:00,18:00,09:00,18:00,2,Y,Y,Y,러시아어+영어+중국어,033-530-2800,강원도 동해시 동해대로 6270-10,강원도 동해시 망상동 393-100,강원도 동해시청,www.dh.go.kr/tour/sub.htm?nav_code=tou1494979229,37.592238,129.089662,2020-12-22,4210000,강원도 동해시
추암관광안내소,추암관광지 입구,강원도,동해시,추암관광지 주변 관광정보를 제공합니다.,,"설명절, 추석명절 기간",09:00,18:00,09:00,18:00,2,Y,Y,Y,러시아어+영어+중국어,033-530-2801,강원도 동해시 추암동 474-20,강원도 동해시 추암동 474-20,강원도 동해시청,www.dh.go.kr/tour/sub.htm?nav_code=tou1494979229,37.477916,129.158038,2020-12-22,4210000,강원도 동해시
무릉계곡관광안내소,무릉계곡 관리사무소 내,강원도,동해시,무릉계곡 명승지 주변 관광 정보를 제공합니다.,,"설명절, 추석명절 기간",09:00,18:00,09:00,18:00,2,Y,Y,Y,러시아어+영어+중국어,033-530-2802,강원도 동해시 삼화로 538,강원도 동해시 삼화동 859,강원도 동해시청,www.dh.go.kr/tour/sub.htm?nav_code=tou1494979229,37.463463,129.019379,2020-12-22,4210000,강원도 동해시
송도종합관광안내소,센트럴파크앞,인천광역시,연수구,연수구 및 송도지역 관광안내,,"추석, 신정, 구정",10:00,18:00,10:00,18:00,,Y,Y,Y,,032-777-1339,인천광역시 연수구 인천타워대로243,인천광역시 연수구 송도동 24-7,인천광역시 관광협회,,37.3928059,126.6358902,2020-04-30,3520000,인천광역시 연수구
두들마을관광안내소,두들마을관광안내소,경상북도,영양군,두들마을 안내소,,연중무휴,10:00,17:00,10:00,17:00,1, , , ,,054-000-0000,경상북도 영양군 석보면 두들마을길 62,경북 영양군 석보면 원리리 331-1,영양군청,https://www.yyg.go.kr/tour/,36.55936361,129.1266122,2020-12-23,5170000,경상북도 영양군
주실마을관광안내소,주실마을관광안내소,경상북도,영양군,주실마을 안내소,,연중무휴,10:00,17:00,10:00,17:00,1, , , ,,054-000-0000,경상북도 영양군 일월면 주실길 55,경북 영양군 일월면 주곡리 222,영양군청,https://www.yyg.go.kr/tour/,36.71868405,129.1025497,2020-12-23,5170000,경상북도 영양군
선바위관광지관광안내소,선바위관광지관광안내소,경상북도,영양군,선바위관광지 안내소,,연중무휴,10:00,17:00,10:00,17:00,1, , , ,,054-000-0000,경상북도 영양군 입암면 영양로 883-16,경북 영양군 입암면 신구리95,영양군청,https://www.yyg.go.kr/tour/,36.60854407,129.0820141,2020-12-23,5170000,경상북도 영양군
연당마을관광안내소,연당마을관광안내소,경상북도,영양군,연당마을관광안내소,,연중무휴,10:00,17:00,10:00,17:00,1, , , ,,054-000-0000,경상북도 영양군 입암면 서석지 1길 5,경북 영양군 입암면 연당리379,영양군청,https://www.yyg.go.kr/tour/,36.6114360744,129.069303,2020-12-23,5170000,경상북도 영양군
서귀포종합관광안내소,천지연폭포 주차장,제주특별자치도,서귀포시,서귀포시 관광 전반에 관한 안내정보를 제공합니다.,문화관광해설,설날. 추석 당일,09:00,18:00,09:00,18:00,4,Y,Y,Y,,064-732-1330,제주특별자치도 서귀포시 남성중로 2-13,제주특별자치도 서귀포시 서홍동 669,제주특별자치도 서귀포시청,www.seogwipo.go.kr,33.2445258516,126.5596971534,2020-06-25,6520000,제주특별자치도 서귀포시
충렬사,안락동,부산광역시,동래구,,,명절,10:00,17:00,10:00,17:00,6,Y,Y,N,영어일본어,051-523-4223,부산광역시 동래구 충렬대로 345,,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.19955923,129.0959922,2020-10-06,B552974,부산관광공사
태종대,동삼동,부산광역시,영도구,,,월화수목금,10:00,17:00,10:00,17:00,4,N,Y,Y,일본어중국어,051-405-2004,부산광역시 영도구 전망로 24,,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.05969333,129.0798061,2020-10-06,B552974,부산관광공사
해동용궁사,기장읍,부산광역시,기장군,,,월화수목금,10:00,17:00,10:00,17:00,2,N,Y,Y,일본어중국어,051-722-7744,부산광역시 기장군 기장읍 용궁길 86,,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.18823786,129.223244,2020-10-06,B552974,부산관광공사
UN평화기념관,대연동,부산광역시,남구,,,월화수목금,10:00,17:00,10:00,17:00,3,Y,N,N,영어,051-901-1408,부산광역시 남구 홍곡로320번길 106,,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.1247524714,129.093268,2020-10-06,B552974,부산관광공사
오륙도 스카이워크,용호동,부산광역시,남구,,,월화수목금,10:00,17:00,10:00,17:00,3,N,N,N,없음,051-607-6395,부산광역시 남구 오륙도로 137,,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.10143799,129.1231048,2020-10-06,B552974,부산관광공사
버스터미널 관광안내소,버스터미널 택시승강장 앞,광주광역시,서구,교통관문거점,관광정보 안내,연중무휴,09:00,18:00,09:00,18:00,3,Y,Y,Y,러시아어,062-365-8733,광주광역시 서구 무진대로 904(광천동),,광주시관광협회,,35.16057492,126.879872,2020-10-31,6290000,광주광역시
광주역 관광안내소,광주역내 입구,광주광역시,북구,교통관문거점,관광정보 안내,연중무휴,09:00,18:00,09:00,18:00,2,Y,Y,Y,러시아어,062-233-9370,광주광역시 북구 무등로 235,,광주시관광협회,,35.1655634353,126.9094586763,2020-10-31,6290000,광주광역시
김대중센터 관광안내소,김대중컨벤션 센터내,광주광역시,서구,문화관광거점,관광정보 안내,연중무휴,09:00,18:00,09:00,18:00,2,Y,Y,Y,러시아어,062-611-3616,광주광역시 서구 상무누리로 30(치평동),,광주시관광협회,,35.146745,126.8404804808,2020-10-31,6290000,광주광역시
문화전당 관광안내소,민주평화교류원 방문자센터내,광주광역시,동구,문화관광거점,관광정보 안내,월요일,10:00,18:00,10:00,18:00,2,Y,Y,Y,러시아어,062-601-4260,광주광역시 동구 문화전당로 38(광산동),,광주시관광협회,,35.1469155857,126.9199944815,2020-10-31,6290000,광주광역시
광주송정역 관광안내소(1층),광주송정역 역사내(1층),광주광역시,광산구,교통관문거점,관광정보 안내,연중무휴,09:00,18:00,09:00,18:00,2,Y,Y,Y,러시아어,062-941-6301,광주광역시 광산구 상무대로 201(송정동),,광주시관광협회,,35.1372122528,126.7906620190,2020-10-31,6290000,광주광역시
광주송정역 관광안내소(2층),광주송정역 역사내(2층),광주광역시,광산구,교통관문거점,관광정보 안내,연중무휴,09:00,18:00,09:00,18:00,2,Y,Y,Y,러시아어,062-944-9044,광주광역시 광산구 상무대로 201(송정동),,광주시관광협회,,35.1372122528,126.7906620190,2020-10-31,6290000,광주광역시
양림동 관광안내소,역사문화마을 주차장 관리동,광주광역시,남구,문화관광거점,관광정보 안내,연중무휴,09:00,18:00,09:00,18:00,2,Y,Y,Y,러시아어,062-676-4486,광주광역시 남구 서서평길 7(양림동),,광주시관광협회,,35.1421308594,126.9155686831,2020-10-31,6290000,광주광역시
광주공항 관광안내소,광주공항 대합실내,광주광역시,광산구,교통관문거점,관광정보 안내,연중무휴,09:00,18:00,09:00,18:00,2,Y,Y,Y,러시아어,062-942-6160,광주광역시 광산구 상무대로 420-25(신촌동),,광주시관광협회,,35.1393886171,126.8109122748,2020-10-31,6290000,광주광역시
강서구관광안내소,가덕도 지양곡 휴게광장,부산광역시,강서구,가덕도방문객들에게 강서구의 문화관광자산 소개 매주 토일만 운영,관광안내도 배부,월에서 금,10:00,17:00,10:00,17:00,2,N,N,N,,051-972-6369,,부산광역시 강서구 천성동 산6-63,부산강서문화원,http://www.bsgangseo.go.kr/culture/main.do,35.022459,128.822029,2020-10-29,3360000,부산광역시 강서구
강서구관광안내소,가덕도 외양포 포진지,부산광역시,강서구,가덕도방문객들에게 강서구의 문화관광자산 소개 매주 토일만 운영,관광안내도 배부,월에서 금,10:00,17:00,10:00,17:00,2,N,N,N,,051-972-6369,,부산광역시 강서구 천성동 산6-63,부산강서문화원,http://www.bsgangseo.go.kr/culture/main.do,35.022459,128.822029,2020-10-29,3360000,부산광역시 강서구
사등 관광안내소,신거제대교 입구,경상남도,거제시,신거제대교 이용 관광객의 편의 도모,인터넷,연중무휴,10:00,17:00,10:00,17:00,1,N,N,N,,055-639-4178,경상남도 거제시 사등면 거제대로 6175,경상남도 거제시 사등면 오량리 814,경상남도 거제시청,http://tour.geoje.go.kr/index.geoje,34.8879111,128.4946542,2020-07-10,5370000,경상남도 거제시
정방폭포 관광안내소,정방폭포 주차장,제주특별자치도,서귀포시,서귀포시 관광 전반에 관한 안내정보를 제공합니다.,문화관광해설,설날. 추석 당일,09:00,18:00,09:00,18:00,2,Y,Y,Y,,064-732-1393,제주특별자치도 서귀포시 칠십리로214번길 33,제주특별자치도 서귀포시 동홍동 279-3,제주특별자치도 서귀포시청,www.seogwipo.go.kr,33.2447371,126.5734888,2020-06-25,6520000,제주특별자치도 서귀포시
제주월드컵경기장 관광안내소,구 월드컵경기장 매표소 건물,제주특별자치도,서귀포시,서귀포시 관광 전반에 관한 안내정보를 제공합니다.,,설날. 추석 당일,09:00,18:00,09:00,18:00,2,Y,Y,Y,,064-739-1391,제주특별자치도 서귀포시 월드컵로 33,제주특별자치도 서귀포시 법환동 914,제주특별자치도 서귀포시청,www.seogwipo.go.kr,33.24621974,126.5092777,2020-06-25,6520000,제주특별자치도 서귀포시
주상절리 관광안내소,주상절리대 방문객센터,제주특별자치도,서귀포시,서귀포시 관광 전반에 관한 안내정보를 제공합니다.,문화관광해설,설날. 추석 당일,09:00,18:00,09:00,18:00,2,Y,Y,Y,,064-738-1393,제주특별자치도 서귀포시 이어도로 36-30,제주특별자치도 서귀포시 중문동 2768-1,제주특별자치도 서귀포시청,www.seogwipo.go.kr,33.23799399,126.4260174,2020-06-25,6520000,제주특별자치도 서귀포시
천제연폭포 관광안내소,천제연폭포 매표소 맞은편,제주특별자치도,서귀포시,서귀포시 관광 전반에 관한 안내정보를 제공합니다.,,설날. 추석 당일,09:00,18:00,09:00,18:00,2,Y,Y,Y,,064-739-1393,제주특별자치도 서귀포시 천제연로 132,제주특별자치도 서귀포시 중문동 2232,제주특별자치도 서귀포시청,www.seogwipo.go.kr,33.2526828,126.4183754156,2020-06-25,6520000,제주특별자치도 서귀포시
다누리센터안내소,충청북도 단양군 단양읍 수변로 111,충청북도,단양군,다누리센터안내소,휠체어+유모차,매주 월요일,09:00,18:00,09:00,18:00,1,Y,Y,N,영어+일본어,043-423-4235,충청북도 단양군 단양읍 수변로 111,충청북도 단양군 단양읍 별곡리 569-1,충청북도 단양군청,https://www.danuri.go.kr/aqua/,36.98541224,128.3707534,2020-12-24,4480000,충청북도 단양군
도담삼봉안내소,충청북도 단양군 단양읍 삼봉로 644-13,충청북도,단양군,도담삼봉안내소,,연중무휴,10:00,17:00,10:00,17:00,2,N,N,N,없음,043-422-3037,충청북도 단양군 매포읍 삼봉로 644-13,충청북도 단양군 매포읍 하괴리 84-1,충청북도 단양군청,,37.0007642,128.341835,2020-12-24,4480000,충청북도 단양군
단양안내소,충청북도 단양군 단양읍 다리안로 43,충청북도,단양군,단양안내소,,연중무휴,09:00,18:00,09:00,18:00,2,Y,N,N,영어,043-420-3035,충청북도 단양군 단양읍 다리안로 43,충청북도 단양군 단양읍 고수리 136-1,충청북도 단양군청,https://www.danyang.go.kr/dy21/,36.98648783,128.3759049,2020-12-24,4480000,충청북도 단양군
논산종합관광안내소,논산역,충청남도,논산시,충청남도 논산시 문화관광해설사의집,,설명절+추석명절,10:00,17:00,10:00,16:00,1,N,Y,Y,일본어+중국어,041-732-6410,충청남도 논산시 해월로 236-12,충청남도 논산시 반월동 33-17,충청남도 논산시청,http://www.nonsan.go.kr/tour/,36.20747626,127.092782,2020-12-10,4540000,충청남도 논산시
해미읍성관광안내소,해미읍성 주차장,충청남도,서산시,종합안내소,문화관광해설 신청 가능,없음,10:00,17:00,10:00,17:00,2, , , ,,041-688-3069,충청남도 서산시 해미면 남문2로 155,,충청남도 서산시청,,36.71059335,126.5482302,2020-12-15,4530000,충청남도 서산시
포로수용소유적공원 관광안내소(삭제),포로수용소유적공원 내,경상남도,거제시,포로수용소를 방문하는 많은 관광객의 편의 도모,인터넷+팩스,연중무휴,10:00,17:00,10:00,17:00,3,N,N,N,,055-639-4177,경상남도 거제시 계룡로 61 (고현동),경상남도 거제시 고현동 362,경상남도 거제시청,http://tour.geoje.go.kr/index.geoje,34.87637981,128.6253698,2020-07-10,5370000,경상남도 거제시
고현버스터미널관광안내소,고현버스터미널 내,경상남도,거제시,버스터미널 이용 관광객 편의 도모,인터넷,연중무휴,10:00,17:00,10:00,17:00,1,N,N,N,,055-639-4180,경상남도 거제시 고현천로 10 (고현동),경상남도 거제시 고현동 979-2,경상남도 거제시청,http://tour.geoje.go.kr/index.geoje,34.8912724,128.6240268,2020-07-10,5370000,경상남도 거제시
거가대교 관광안내소,가덕휴게소 내,경상남도,거제시,거가대교 개통에 따른 관광객의 편의 도모,인터넷,연중무휴,10:00,17:00,10:00,17:00,1,N,N,N,,051-711-3619,부산광역시 강서구 거가대로 2571 (천성동),부산광역시 강서구 천성동 488-6,경상남도 거제시청,http://tour.geoje.go.kr/index.geoje,35.02301425,128.8095884,2020-07-10,5370000,경상남도 거제시
여수공항 관광안내소,여수공항 내,전라남도,여수시,여수관광 정보 제공,,연중무휴,09:00,16:00,09:00,16:00,1,N,Y,N,,061-659-5699,전라남도 여수시 율촌면 여순로 386,전라남도 여수시 율촌면 신풍리 979,전라남도 여수시청,http://www.yeosu.go.kr/tour,34.84023268,127.613997,2020-10-30,4810000,전라남도 여수시
여수엑스포역 종합관광안내소,여수엑스포역  광장,전라남도,여수시,여수관광 정보 제공,,연중무휴,09:00,21:00,09:00,21:00,2,N,N,N,,061-659-5696,전라남도 여수시 망양로 2 (덕충동),전라남도 여수시 덕충동 61-7,전라남도 여수시청,http://www.yeosu.go.kr/tour,34.75310731,127.7488924,2020-10-30,4810000,전라남도 여수시
여수연안여객선터미널 관광안내소,여수연안여객선터미널 내,전라남도,여수시,여수관광 정보 제공,,연중무휴,10:00,17:00,10:00,17:00,1,N,N,N,,061-659-5707,전라남도 여수시 여객선터미널길 17 (교동),전라남도 여수시 교동682-1,전라남도 여수시청,http://www.yeosu.go.kr/tour,34.7384465,127.7328526,2020-10-30,4810000,전라남도 여수시
