시군구명,업소명,업종명,소재지도로명주소,연락처,객실수
원주시,산수민박,민박,강원도 원주시 신림면 주련길 21,033-763-3633,5
원주시,자연촌민박,민박,강원도 원주시 신림면 방학동길 194,033-763-3130,3
원주시,주련골산방펜션,민박,강원도 원주시 신림면 주련길 27,033-763-3080,3
원주시,다래민박,민박,강원도 원주시 신림면 성남로 363,033-763-2978,4
원주시,백천민박,민박,강원도 원주시 신림면 성남로 356,033-763-1165,3
원주시,고향천민박,민박,강원도 원주시 신림면 성남로 167-3,033-762-9004,2
원주시,금강산민박,민박,강원도 원주시 신림면 성남2리 541,033-762-7603,5
원주시,미륵산민박,민박,강원도 원주시 귀래면 미륵산길 43-5,033-762-6512,4
원주시,토우펜션,펜션,강원도 원주시 신림면 성남로 249-4,033-762-5048,2
원주시,토우펜션,민박,강원도 원주시 신림면 성남로 249-4,033-762-5048,2
원주시,미륵산황토방민박,민박,강원도 원주시 귀래면 미륵산길 43-5,033-762-4234,5
원주시,산머루민박,민박,강원도 원주시 신림면 무시정길 5,033-762-3471,1
원주시,운학산방민박,민박,강원도 원주시 신림면 구학리 426-1,033-762-3399,3
원주시,방학산방민박,민박,강원도 원주시 신림면 방학동길 169,033-762-3399,1
원주시,다그라스통나무민박,민박,강원도 원주시 신림면 성남로 562,033-762-3391,2
원주시,진선미민박,민박,강원도 원주시 판부면 영원산성길 171,033-762-1488,5
원주시,짱가네민박,민박,강원도 원주시 판부면 금대리 191-4,033-762-0864,2
원주시,황토사랑방민박,민박,강원도 원주시 신림면 오미로 721-24,033-761-9797,4
원주시,청솔민박,민박,강원도 원주시 판부면 서곡4리 1614-2,033-761-4953,2
원주시,치악산아름다운펜션,펜션,강원도 원주시 주련길 34,033-761-2730,5
원주시,보뜰애민박,민박,강원도 원주시 소초면 백교안길 13-8,033-746-1529,5
원주시,솔밭민박,민박,강원도 원주시 지정면 월송리 910-1,033-743-0056,6
원주시,자작나무숲(팬션),펜션,강원도 원주시 지정면 구재로 40-13,033-742-4455,16
원주시,산민박,민박,강원도 원주시 소초면 무쇠점2길 24,033-732-9696,4
원주시,황토펜션,민박,강원도 원주시 소초면 황골로 469-12,033-732-9434,2
원주시,두몽폭포민박,민박,강원도 원주시 지정면 두몽폭포길 61,033-732-9406,4
원주시,봉바위돌집민박,민박,강원도 원주시 호저면 용곡리 546-1,033-732-9143,3
원주시,치악산민박,민박,강원도 원주시 소초면 황골로 523,033-732-8860,4
원주시,황골민박,민박,강원도 원주시 소초면 황골로 435,033-732-8340,5
원주시,다래나무집,민박,강원도 원주시 지정면 간현로 10,033-732-7679,5
원주시,황토민박,민박,강원도 원주시 호저면 칠봉마을길 37,033-732-7416,3
원주시,유학민박,민박,강원도 원주시 소초면 백교길 9,033-732-7181,7
원주시,간현석유민박,민박,강원도 원주시 지정면 지정로 307-11,033-732-6138,5
원주시,초가민박,민박,강원도 원주시 소초면 무쇠점2길 31,033-732-5667,4
원주시,학곡민박,민박,강원도 원주시 소초면 치악로 3438,033-732-5570,5
원주시,금강산산장민박,민박,강원도 원주시 지정면 소금산길 21,033-732-5349,6
원주시,청운산장민박,민박,강원도 원주시 지정면 간현리 1108-14,033-732-5220,5
원주시,송학가든민박,민박,강원도 원주시 소초면 무쇠점2길 16,033-732-5066,5
원주시,대림민박,민박,강원도 원주시 지정면 지정로 870,033-732-4949,3
원주시,한솔민박,민박,강원도 원주시 소초면 백교길 24,033-732-4872,3
원주시,대동강민박,민박,강원도 원주시 지정면 소금산길 88,033-732-4418,4
원주시,치악산펜션,민박,강원도 원주시 소초면 구룡마을길 60,033-732-3874,4
원주시,치악산 송림민박,민박,강원도 원주시 소초면 황골로 47-1,033-732-2050,3
원주시,하늘마루민박,민박,강원도 원주시 호저면 호저로 1181-11,033-732-1811,6
원주시,백교민박,민박,강원도 원주시 소초면 구룡사로 115-10,033-732-1653,6
원주시,산수민박,민박,강원도 원주시 소초면 구룡사로 43,033-732-1614,4
원주시,횡성돌집민박,민박,강원도 원주시 소초면 구룡사로 117,033-732-1258,5
원주시,통나무민박,민박,강원도 원주시 지정면 소금산길 30,033-732-0545,2
원주시,콘도식민박,민박,강원도 원주시 소초면 구룡사로 42-7,033-731-9972,1
원주시,산머루민박,민박,강원도 원주시 소초면 황골로 470,033-731-9381,5
원주시,스테이민박,민박,강원도 원주시 부론면 손비로 174-1,033-731-8880,7
원주시,산너울민박,민박,강원도 원주시 소초면 구룡사로 15,033-731-8862,7
원주시,비룡민박,민박,강원도 원주시 소초면 무쇠점1길 30,033-731-8547,7
원주시,작배기민박,민박,강원도 원주시 지정면 간현로 202-20,033-731-8085,4
원주시,둥글레민박,민박,강원도 원주시 소초면 무쇠점1길 12,033-731-8041,5
원주시,대광민박,민박,강원도 원주시 소초면 학곡리 108,033-731-7348,2
원주시,대청마루민박,민박,강원도 원주시 지정면 소금산길 42,033-731-7032,3
원주시,세화산장민박,민박,강원도 원주시 지정면 소금산길 145,033-731-6731,3
원주시,치악산백운네집,민박,강원도 원주시 소초면 무쇠점1길 30,033-731-5722,4
원주시,점말민박,민박,강원도 원주시 지정면 간현로186번길 141-39,033-731-4473,1
원주시,원주점말민박,민박,강원도 원주시 지정면 간현로 186번길 141-40,033-731-4473,2
원주시,간현산장민박,민박,강원도 원주시 지정면 소금산길 96,033-731-4222,4
원주시,비둘기민박,민박,강원도 원주시 소초면 무쇠점1길 42,033-731-3934,7
원주시,치악산민박,민박,강원도 원주시 지정면 소금산길 21-1,033-731-3653,5
원주시,할머니농박민박,민박,강원도 원주시 지정면 간현3리 721-1,033-731-3608,3
원주시,큰돌민박,민박,강원도 원주시 소초면 백교길 27,033-731-3248,7
원주시,콜산장민박,민박,강원도 원주시 소초면 구룡사로 115-3,033-731-3080,5
원주시,문정골산장민박,민박,강원도 원주시 지정면 소금산길 143,033-731-2335,6
원주시,산천초목민박,민박,강원도 원주시 지정면 두몽폭포길 7,033-731-2171,4
원주시,금정산장민박,민박,강원도 원주시 지정면 소금산길 155,033-731-1430,5
원주시,힐링캠프민박,민박,강원도 원주시 소초면 구룡사로 147,033-731-1398,4
원주시,선바위민박,민박,강원도 원주시 호저면 호저로 1235,033-731-0941,3
원주시,솔밭민박,민박,강원도 원주시 지정면 간현로 202-11,033-731-0905,5
원주시,입석골민박,민박,강원도 원주시 소초면 황골로 483,033-731-0861,5
원주시,존민박,민박,강원도 원주시 호저면 평천2길 60,033-731-0777,2
원주시,다람쥐민박,민박,강원도 원주시 소초면 무쇠점1길 58,033-731-0131,4
원주시,점말민박,민박,강원도 원주시 지정면 간현로186번길 141-49,033-731-0061,1
고성군,금주민박,민박,강원도 고성군 거진읍 반암길33,033-682-6200,3
고성군,해맞이팬션민박,민박,강원도 고성군 현내면 금강산로367,033-682-6131,4
고성군,마당끝해변민박,민박,강원도 고성군 현내면 한나루로194,033-682-5525,2
고성군,태광민박,민박,강원도 고성군 거진읍 자산천로68-3,033-682-5440,3
고성군,부천민박,민박,강원도 고성군 현내면 한나루로6,033-682-4997,1
고성군,연둘레민박,민박,강원도 고성군 현내면 금강산로130,033-682-4711,3
고성군,고바우민박,민박,강원도 고성군 거진읍 반암길35,033-682-4255,1
고성군,함씨민박,민박,강원도 고성군 거진읍 반암길32-1,033-682-3880,2
고성군,해원민박,민박,강원도 고성군 거진읍 반암길13,033-682-3799,1
고성군,오동나무민박,민박,강원도 고성군 거진읍 반암길18,033-682-3792,1
고성군,수성민박,민박,강원도 고성군 거진읍 반암길10,033-682-3791,2
고성군,수성민박,민박,강원도 고성군 거진읍 반암길10,033-682-3791,1
고성군,일출민박,민박,강원도 고성군 거진읍 반암길14,033-682-3661,2
고성군,유림민박,민박,강원도 고성군 거진읍 반암길23,033-682-3636,2
고성군,반암바닷가민박,민박,강원도 고성군 거진읍 자산천로66-5,033-682-3577,1
고성군,반암콘도형민박,민박,강원도 고성군 거진읍 반암길35,033-682-3558,1
고성군,삼진민박,민박,강원도 고성군 거진읍 반암길52,033-682-3477,4
고성군,장수민박,민박,강원도 고성군 거진읍 반암길29,033-682-3468,1
고성군,동우민박,민박,강원도 고성군 거진읍 반암길20,033-682-2994,4
고성군,사내뜰민박,민박,강원도 고성군 거진읍 포남길85,033-682-2993,1
고성군,띠오만민박,민박,강원도 고성군 거진읍 돌고개길14,033-682-2987,3
고성군,금강콘도민박,민박,강원도 고성군 거진읍 반암길48,033-682-2697,3
고성군,제뉴어리민박,민박,강원도 고성군 현내면 대진항길21,033-682-2630,4
고성군,거진민박,민박,강원도 고성군 거진읍 벌평로66-9,033-682-2419,2
고성군,이씨민박,민박,강원도 고성군 현내면 금강산로124-1,033-682-2326,1
고성군,소라네민박,민박,강원도 고성군 거진읍 거탄진로72번길24,033-682-2298,1
고성군,그린민박,민박,강원도 고성군 거진읍 거탄진로178,033-682-2251,1
고성군,화포리132,민박,강원도 고성군 거진읍 화포2길36,033-682-1223,2
고성군,바다민박,민박,강원도 고성군 거진읍 반암길24-1,033-682-1135,1
고성군,솔미민박,민박,강원도 고성군 현내면 한나루로50,033-682-0977,1
고성군,웰빙민박,민박,강원도 고성군 현내면 초도안길27,033-682-0963,2
고성군,화진포민박,민박,강원도 고성군 현내면 초도1길20,033-682-0878,1
고성군,윤아네민박,민박,강원도 고성군 현내면 금강산로112-7,033-682-0795,1
고성군,다래민박,민박,강원도 고성군 현내면 초도안길29,033-682-0771,1
고성군,지은민박,민박,강원도 고성군 현내면 한나루로4,033-682-0741,1
고성군,현내민박,민박,강원도 고성군 현내면 한나루로46-1,033-682-0740,2
고성군,송씨민박,민박,강원도 고성군 현내면 금강산로110-2,033-682-0733,1
고성군,초도리민박,민박,강원도 고성군 현내면 한나루로22,033-682-0705,1
고성군,봉화민박,민박,강원도 고성군 현내면 백두대간로1181,033-682-0654,3
고성군,홈스태디,민박,강원도 고성군 현내면 초도안길13-12,033-682-0615,1
고성군,인학민박,민박,강원도 고성군 현내면 금강산로112-6,033-682-0595,1
고성군,아리랑 민박,민박,강원도 고성군 현내면 한나루로 165,033-682-0578,2
고성군,마성호민박,민박,강원도 고성군 현내면 금강산로110-3,033-682-0498,1
고성군,수지인콘도식민박,민박,강원도 고성군 현내면 금강산로57,033-682-0456,3
고성군,영애민박,민박,강원도 고성군 현내면 한나루로8,033-682-0403,1
고성군,화진포민박,민박,강원도 고성군 현내면 화진포길456,033-682-0392,1
고성군,사계절민박,민박,강원도 고성군 현내면 초도안길17,033-682-0379,2
고성군,우리민박,민박,강원도 고성군 현내면 한나루로205,033-682-0373,1
고성군,만금콘도식팬션,민박,강원도 고성군 현내면 초도항길145,033-682-0361,2
고성군,해녀민박,민박,강원도 고성군 현내면 초도안길9,033-682-0347,1
고성군,호숙민박,민박,강원도 고성군 현내면 금강산로136,033-682-0343,1
고성군,편안한민박,민박,강원도 고성군 현내면 초도안길26-5,033-682-0323,1
고성군,이창동민박,민박,강원도 고성군 현내면 초도1길24,033-682-0256,1
고성군,꽃집민박,민박,강원도 고성군 현내면 초도안길23,033-682-0255,1
고성군,샘민박,민박,강원도 고성군 현내면 금강산로125,033-682-0251,2
고성군,민이네민박,민박,강원도 고성군 현내면 한나루로48,033-682-0249,2
고성군,꽃사슴민박,민박,강원도 고성군 현내면 초도안길13,033-682-0210,2
고성군,화진포민박,민박,강원도 고성군 현내면 금강산로124,033-682-0203,1
고성군,해금강민박,민박,강원도 고성군 현내면 한나루로214,033-682-0161,1
고성군,콘도형민박,민박,강원도 고성군 현내면 대진리 290,033-682-0128,1
고성군,정씨네민박,민박,강원도 고성군 현내면 한나루로4길9,033-682-0025,2
고성군,농원민박,민박,강원도 고성군 현내면 초도리 213,033-681-9000,3
고성군,청수골민박,민박,강원도 고성군 간성읍 흘리령길25,033-681-8416,1
고성군,장승나라 소도민박,민박,강원도 고성군 간성읍 소똥령마을길75-3,033-681-7506,2
고성군,다혜나루 민박,민박,강원도 고성군 간성읍 진부령로 2716,033-681-5666,2
고성군,행복한민박,민박,강원도 고성군 거진읍 반암길27,033-681-5661,2
고성군,원룸민박,민박,강원도 고성군 죽왕면 가진길7,033-681-5616,3
고성군,가진민박,민박,강원도 고성군 죽왕면 가진길17-1,033-681-5610,2
고성군,바다를닮은집,민박,강원도 고성군 죽왕면 가진길27-17,033-681-5377,2
고성군,바다마을,민박,강원도 고성군현내면 금강산로123-1,033-681-5238,1
고성군,비목민박,민박,강원도 고성군 간성읍 진부령로1941,033-681-4107,1
고성군,폭포가있는집민박,민박,강원도 고성군 간성읍 소똥령마을길94,033-681-3966,1
고성군,예쁜연못집민박,민박,강원도 고성군 간성읍 소똥령마을길48,033-681-3529,1
고성군,예쁜연못집민박,민박,강원도 고성군 간성읍 소똥령마을길48,033-681-3529,2
고성군,소똥령민박,민박,강원도 고성군 간성읍 소똥령마을길53,033-681-2815,1
고성군,해오름민박,민박,강원도 고성군 거진읍 반암길38,033-681-2630,4
고성군,소똥령이야기,민박,강원도 고성군 간성읍 진부령로1211,033-681-2302,1
고성군,소똥령이야기,민박,강원도 고성군 간성읍 진부령로1211,033-681-2302,1
고성군,해변민박,민박,강원도 고성군 거진읍 반암길44,033-681-1447,3
고성군,그린민박,민박,강원도 고성군 거진읍 반암길50,033-681-1080,4
고성군,제추골산장민박,민박,강원도 고성군 간성읍 진부령로1295,033-681-1020,3
고성군,향원민박,민박,강원도 고성군 간성읍 진부령로1037,033-681-0929,1
고성군,바닷가민박,민박,강원도 고성군 현내면 초도안길5,033-681-0867,1
양양군,화이트 샌드,민박,강원도 양양군 현남면 새나루길 31,033-673-9366,3
양양군,일피노,민박,강원도 양양군 현북면남대천로 1122-8,033-673-9176,3
양양군,밤나무민박,민박,강원도 양양군 현북면 어성전길 108-12,033-673-8886,3
양양군,등대민박,민박,강원도 양양군 강현면 동해대로 3543,033-673-8855,3
양양군,그루터기,민박,강원도 양양군 서면 구룡령로 1694,033-673-8763,6
양양군,가운데 집,민박,강원도 양양군 현북면 어성전길 214-8,033-673-8704,2
양양군,도담집민박,민박,강원도 양양군 강현면 안골로 244-8,033-673-8682,1
양양군,용소계곡민박,민박,강원도 양양군 서면 용소길 246-1,033-673-8645,2
양양군,샘말집,민박,강원도 양양군 현북면 어성전길 197,033-673-8607,3
양양군,토종닭 집 민박,민박,강원도 양양군 현북면 법수치길 864,033-673-8603,2
양양군,하늘마루,민박,강원도 양양군 강현면 안골로 254-3,033-673-8591,1
양양군,늘 푸른 계곡,민박,강원도 양양군 현북면 남대천로 1425-13,033-673-8332,3
양양군,노루목펜션,민박,강원도 양양군 서면 용소길 242,033-673-8019,1
양양군,에덴펜션,민박,강원도 양양군 설악로 1060-20,033-673-7700,5
양양군,초록수채화,민박,강원도 양양군 현북면 법수치길 405-20,033-673-7575,7
양양군,강가에서,민박,강원도 양양군 현북면 남대천로 1219-2,033-673-6919,4
양양군,좋은 터 좋은 곳,민박,강원도 양양군 현북면 송이로 821,033-673-6909,2
양양군,아리스토이펜션,민박,강원도 양양군 강현면 소금재길179번길 37,033-673-6737,5
양양군,성안민박,민박,강원도 양양군 강현면 화채봉길 317-2,033-673-6464,2
양양군,베리트,민박,강원도 양양군 강현면 동해대로 3357,033-673-6060,7
양양군,푸른하늘 은하수,민박,강원도 양양군 현북면 어성전길 422,033-673-6004,6
양양군,감꽃 향기,민박,강원도 양양군 서면 남대천로 433-22,033-673-5955,4
양양군,조봉민박,민박,강원도 양양군 서면 구룡령로 1614,033-673-5816,7
양양군,설악뜰,민박,강원도 양양군 강현면 복골길201번길 73,033-673-5689,4
양양군,블루하임,민박,강원도 양양군 현북면 남대천로 1108-14,033-673-5477,5
양양군,감동골집민박,민박,강원도 양양군 강현면 안골로 232,033-673-5281,2
양양군,솔향기민박,민박,강원도 양양군 강현면 안골로 208,033-673-5277,1
양양군,물소리새소리,민박,강원도 양양군 서면 떡마을길 23-14,033-673-5030,7
양양군,파인힐,민박,강원도 양양군 현북면 어성전길 320,033-673-4594,6
양양군,전망좋은방,민박,강원도 양양군 현북면 법수치길 1054,033-673-4515,4
양양군,와바캠프민박,민박,강원도 양양군 서면 용소길 57,033-673-4353,2
양양군,와바캠프민박,민박,강원도 양양군 서면 용소길 57,033-673-4353,5
양양군,큰소래집 민박,민박,강원도 양양군 서면 구룡령로 2782,033-673-4351,4
양양군,공수전민박,민박,강원도 양양군 서면 구룡령로 2808,033-673-4346,2
양양군,산야초 산장,민박,강원도 양양군 현북면 법수치길 906-10,033-673-4335,7
양양군,물안개농박,민박,강원도 양양군 서면 떡마을길 140,033-673-4322,6
양양군,북암황토민박,민박,강원도 양양군 서면 떡마을길 74,033-673-4319,4
양양군,탁씨 민박,민박,강원도 양양군 서면 떡마을길 64-7,033-673-4316,2
양양군,소래민박,민박,강원도 양양군 서면 떡마을길 136,033-673-4315,6
양양군,송천가든민박,민박,강원도 양양군 서면 떡마을길 64-6,033-673-4200,5
양양군,서울민박,민박,강원도 양양군 서면 설악로 1053,033-673-4095,5
양양군,금빛물결,민박,강원도 양양군 서면남대천로 840-13,033-673-4013,2
양양군,솔바다,민박,강원도 양양군 손양면 선사유적로 316-38,033-673-3993,8
양양군,황토방한옥민박,민박,강원도 양양군 서면 관대문길 81,033-673-3939,4
양양군,양양군 양양댁,민박,강원도 양양군 서면 버들골길 25,033-673-3565,1
양양군,수벨리펜션,민박,강원도 양양군 서면 버들골길 25,033-673-3565,2
양양군,몽비쥬펜션,민박,강원도 양양군 서면 미천골길 256-9,033-673-3535,4
양양군,탁장사 펜션,민박,강원도 양양군 현북면 어성전길 180,033-673-3469,7
양양군,외솔집,민박,강원도 양양군 현북면 어성전길 167,033-673-3469,1
양양군,캐디스,민박,강원도 양양군 현북면 법수치길 165,033-673-3439,6
양양군,캐디스,민박,강원도 양양군 현북면 법수치길 165,033-673-3438,6
양양군,오색연가,민박,강원도 양양군 서면 관대문길 23-26,033-673-3338,3
양양군,알프스민박,민박,강원도 양양군 서면 구룡령로 1106,033-673-3334,4
양양군,꿈꾸는 숲,민박,강원도 양양군 현북면 법수치길 525,033-673-3185,7
양양군,설악애맑은해,민박,강원도 양양군 서면 상평1길 17-4,033-673-3109,3
양양군,가족 민박,민박,강원도 양양군 현남면 남애리 6-28,033-673-3077,7
양양군,약수골산장,민박,강원도 양양군 서면 왕생골길 22,033-673-2991,5
양양군,합실집,민박,강원도 양양군 현북면 법수치길 1176,033-673-2962,5
양양군,게스트 하우스,민박,강원도 양양군 손양면 문화마을길 3-8,033-673-2815,4
양양군,형제횟집 민박,민박,강원도 양양군 현남면 안남애길 66-1,033-673-2766,2
양양군,다산방,민박,강원도 양양군 서면 버들골길 11,033-673-2515,2
양양군,미천골쉼터,민박,강원도 양양군 서면 구룡령로 1685,033-673-2488,5
양양군,솔 하우스,민박,강원도 양양군 서면 떡마을길 32,033-673-2459,7
양양군,법수민박,민박,강원도 양양군 현북면 법수치길 656,033-673-2390,1
양양군,그날이 오면,민박,강원도 양양군 현북면 법수치길 59,033-673-2346,5
양양군,통나무집민박,민박,강원도 양양군 서면 구룡령로 2309,033-673-2230,3
양양군,우리마을펜션,민박,강원도 양양군 현남면 화상천로381번길 536,033-673-2202,6
양양군,오색                     사랑채 펜션,민박,강원도 양양군 서면설악로 1060-22,033-673-2200,5
양양군,취산몽해,민박,강원도 양양군 서면 구룡령로 1008,033-673-2181,3
양양군,용근네민박,민박,강원도 양양군 서면 용소길 238,033-673-2152,2
양양군,솔바람펜션,민박,강원도 양양군 서면 얼음골길 76,033-673-2040,7
양양군,그린 민박,민박,강원도 양양군 서면 구룡령로 1647,033-673-1912,3
양양군,민박 미천골,민박,강원도 양양군 서면 미천골길 41,033-673-1838,6
양양군,산호펜션,민박,강원도 양양군 강현면 물치천로 169,033-673-1678,5
양양군,시선촌민박,민박,강원도 양양군 서면 왕생골길 96,033-673-1677,3
양양군,자연과 우리,민박,강원도 양양군 현북면 법수치길 277,033-673-1637,7
양양군,해바라기 민박,민박,강원도 양양군 현북면 부소치길 12-35,033-673-1636,3
양양군,물래뜰 펜션,민박,강원도 양양군 현북면 남대천로 1416,033-673-1597,5
양양군,어성전집 민박,민박,강원도 양양군 현북면 송이로 1114,033-673-1595,4
양양군,정이 담긴 집,민박,강원도 양양군 현북면 남대천로 1418,033-673-1571,4
양양군,법수농원,민박,강원도 양양군 현북면 법수치길 666,033-673-1559,6
양양군,꿈꾸는 계곡,민박,강원도 양양군 현북면 어성전길 389,033-673-1556,5
양양군,가마소 집,민박,강원도 양양군 현북면 어성전길 240,033-673-1550,1
양양군,산밑에 집,민박,강원도 양양군 현북면 어성전길 229,033-673-1548,1
양양군,개잔리 집,민박,강원도 양양군 현북면 어성전길 214-12,033-673-1545,2
양양군,펜션 마을 집,민박,강원도 양양군 현북면 어성전길 177,033-673-1520,2
양양군,감나무 집,민박,강원도 양양군 현북면 어성전길 236,033-673-1503,2
양양군,풀내음민박,민박,강원도 양양군 현북면 송이로 1102-8,033-673-1492,2
양양군,해피 하우스,민박,강원도 양양군 서면 구룡령로 1429,033-673-1447,4
양양군,네이처,민박,강원도 양양군 현북면 법수치길 915,033-673-1412,5
양양군,법수치폭포,민박,강원도 양양군 현북면 법수치길 922,033-673-1188,4
양양군,솔향기 민박,민박,강원도 양양군 현북면 법수치길 564,033-673-1173,2
양양군,원석촌,민박,강원도 양양군 현북면 법수치길 1131-19,033-673-1162,1
양양군,산골여행펜션,민박,강원도 양양군 현북면 법수치길 435,033-673-1010,5
양양군,진흙둥지,민박,강원도 양양군 현북면 법수치길 776,033-673-0984,2
양양군,용소골민박,민박,강원도 양양군 서면 용소길 246-8,033-673-0968,4
양양군,흐르는 강물처럼,민박,강원도 양양군 현북면 법수치길 293,033-673-0941,7
양양군,무엽이네,민박,강원도 양양군 현북면 법수치길 858,033-673-0937,3
양양군,미천골 농박,민박,강원도 양양군 서면 미천골길 35,033-673-0912,7
양양군,바람골,민박,강원도 양양군 서면 구룡령로 2039-2,033-673-0757,7
양양군,용소리민박,민박,강원도 양양군 서면 용소길 222,033-673-0751,3
양양군,계곡민박,민박,강원도 양양군 서면 구룡령로 2020,033-673-0456,4
양양군,행복한 아침,민박,강원도 양양군 현북면 법수치길 580,033-673-0315,5
양양군,통나무집 민박,민박,강원도 양양군 현북면 부소치길 12-33,033-673-0285,3
양양군,권대감손자네민박,민박,강원도 양양군 강현면 화채봉길 319,033-673-0198,3
양양군,용소골민박,민박,강원도 양양군 서면 용소길 49,033-673-0078,3
양양군,산속 민박,민박,강원도 양양군 현북면 버들골길 117-9,033-673-0059,3
양양군,산내들,민박,강원도 양양군 현북면 법수치길 1176,033-673-0052,4
양양군,청산민박,민박,강원도 양양군 강현면 안골로 148-32,033-672-9400,1
양양군,오색민박,민박,강원도 양양군 서면 안터길 11-16,033-672-8787,7
양양군,오색한옥펜션,민박,강원도 양양군 서면 안터길 11-16,033-672-8787,12
양양군,할머니민박,민박,강원도 양양군 서면 안터길 11-10,033-672-8787,5
양양군,동숙이네 민박,민박,강원도 양양군 손양면 선사유적로 276,033-672-8660,2
양양군,현복 민박,민박,강원도 양양군 손양면 너름터길 9-26,033-672-8596,3
양양군,동호상회 민박,민박,강원도 양양군 손양면 선사유적로 301,033-672-8578,7
양양군,솔바람,민박,강원도 양양군 서면 안터길 36,033-672-8442,3
양양군,안터민박,민박,강원도 양양군 서면 안터길 38-7,033-672-8368,2
양양군,수원집,민박,강원도 양양군 서면 안터길 48,033-672-8227,5
양양군,큰소나무 민박,민박,강원도 양양군 손양면 선사유적로 290,033-672-8109,5
양양군,설악마루펜션,민박,강원도 양양군 서면 떡마을길 151,033-672-7783,7
양양군,관용이네 민박,민박,강원도 양양군 손양면 선사유적로 172-6,033-672-7715,3
양양군,통나무 쉼터,민박,강원도 양양군 손양면 동해대로 2237-12,033-672-7707,5
양양군,그린 하우스,민박,강원도 양양군 양양읍 거마천로 58-35,033-672-7337,7
양양군,비치콘도,민박,강원도 양양군 양양읍 동해대로 2997-1,033-672-6872,7
양양군,별님이네민박,민박,강원도 양양군 서면 안터길 11-12,033-672-6770,7
양양군,하조대 아름들,민박,강원도 양양군 현북면 검소길 111,033-672-5955,4
양양군,에코하임,민박,강원도 양양군 현북면 한재길 6-52,033-672-5655,4
양양군,하조대 에코펜션,민박,강원도 양양군 현북면 한재길 6-42,033-672-5655,3
